Kategori,Baslik,Metin_Ozet,Link
Kargo,Eksik Gönderilen Ürünler İçin Çözüm Bekliyorum,"13.12.2025 tarihinde Epttavm internet sitesi üzerinden Türen Yapı Malzemeleri İnşaat Nakliyat Sanayi ve Ticaret Limited Şirketi mağazasından PTT-5M9V8TM1C-131225 sipariş kodu ile 3 adet 1"" Stop Vana Tepesi satın aldım. 17.12.2025 tarihinde kargo elime ulaştığında paketten yalnızca 1 adet ürün çıktı,...",/ptt-kargo/eksik-gonderilen-urunler-icin-cozum-bekliyorum-5
Kargo,Teslim Edilmeden Teslim Edilmiş Gösterilen Kargomun Akıbeti Hakkında Mağduriyet,"Gaziantep Şehitkamil ilçesi GATEM acente şubesine gelen kargom, tarafıma hiç teslim edilmediği halde sistemde teslim edilmiş görünüyor ve bu şekilde mesaj aldım. İçerisinde bakliyat kesesi bulunan ve 189 TL değerindeki gönderim, 13 Aralık tarihinde teslim edilmiş gibi işlenmiş olmasına rağmen ürün b...",/surat-kargo/teslim-edilmeden-teslim-edilmis-gosterilen-kargomun-akibeti-hakkinda-magduriyet
Kargo,Kargom Adrese Teslim Edilmedi Köpekler Dağıttı Firma İlgisiz Ve Saygısız Davrandı,Nak Kargo’nun İzmir Yunus Emre Mahallesi şubesinden geçen ay Kayseri’ye gönderilmek üzere içinde erzak ve et bulunan bir koli gönderdim. Kargoyu özellikle adrese teslim olması için verdim ancak Kayseri’deki şube adrese teslim yapamayacaklarını söyleyerek teslimatı gerçekleştirmedi. Buna rağmen kargo...,/nak-kargo/kargom-adrese-teslim-edilmedi-kopekler-dagitti-firma-ilgisiz-ve-saygisiz-davrandi
Kargo,Adresime Teslim Edilmeyen Kargo Ve Faturasız Ücret Tahsilatı,"Öz Feda Nakliyat ile yaşadığım kargo sürecinde ciddi mağduriyet yaşadım. Kargom 06.12.2025 tarihinde taşınmasına rağmen adrese getirilmedi, “adresi bulamadık, gel araçtan al” denilerek teslimat yapılmak istenmedi. Şube adresleri de net olmadığı için kargoyu sistemli bir şekilde teslim alma imkanım d...",/oz-feda-nakliyat/adresime-teslim-edilmeyen-kargo-ve-faturasiz-ucret-tahsilati
Kargo,Kırık Gelen Kitaplık Parçası Ve Yetersiz Müşteri Hizmetleri,"IKEA’dan 30.10.2025 tarihinde Billy kitaplık siparişi verdim, ürün 04.11.2025 tarihinde elime ulaştı. Kargo paketinde herhangi bir hasar görünmüyordu ancak koliyi açtığımızda kenar parçalarından birinin ortadan ikiye kırık olduğunu fark ettik ve hemen ardından talep oluşturduk. Buna rağmen Horoz Nak...",/ikea/kirik-gelen-kitaplik-parcasi-ve-yetersiz-musteri-hizmetleri
Banka,"Hayat Finans Kampanya Sözünü Tutmadı, 500 TL Ödülünü Vermedi",Hayat Finans’ın 20589011 numaralı müşterisiyim. 5 Kasım – 31 Aralık tarihleri arasındaki otomatik fatura ödeme kampanyasına katıldım ve kampanya koşullarını eksiksiz yerine getirdim. Buna rağmen Aralık ayına ait olması gereken 500 TL kampanya tutarı hesabıma yüklenmedi. Konu ile ilgili müşteri hizm...,/hayat-finans/hayat-finans-kampanya-sozunu-tutmadi-500-tl-odulunu-vermedi
Banka,Halkbank Dijital Parola Alma İşlemi Sürekli İptal Ediliyor Ve Müşteri Hizmetlerine Ulaşılamıyor,"Yaklaşık 1 aydır Halkbank üzerinden dijital parola alamıyorum. İnternetten dijital parola oluşturmaya çalıştığımda işlem iptal oluyor ve bir türlü parolam tanımlanmıyor. Ayrıca müşteri temsilcisine de bağlanamıyorum, bu nedenle sorunu telefon üzerinden de çözemiyorum. Dijital parolam olmadığı için...",/halkbank/halkbank-dijital-parola-alma-islemi-surekli-iptal-ediliyor-ve-musteri-hizmetlerine-ulasilamiyor
Banka,Ziraat Bankası Altın Hesabımda 7 Günlük Bloke Yüzünden Bedelli Askerlik Ödemesi Yapamama,"Ziraat Bankası’ndaki 5002 numaralı on s a altın hesabıma dün 46,22 gram altın yatırdım. Altınlar hesabıma geçtiği anda cep telefonuma SMS geldi ve hesabımın 7 gün süreyle blokeli olduğu bildirildi. Bu işlemi özellikle bedelli askerlik ödememi yapmak için gerçekleştirmiştim ve bu ayın 30’u son ödeme...",/ziraat-bankasi/ziraat-bankasi-altin-hesabimda-7-gunluk-bloke-yuzunden-bedelli-askerlik-odemesi-yapamama
Banka,Garanti Bankası’nda Haksız E-Haciz Uyarısı Kaldırılmadı,"Garanti Bankası’ndan dolayı yaklaşık bir yıl önce hacizlik olmuştum ve borcumu yine yaklaşık bir yıl kadar önce tamamen ödedim. Bugün, 25.12.2025 tarihi itibarıyla, yani aradan neredeyse bir yıl geçmiş olmasına rağmen, Garanti Bankası’ndaki kredi kartı ve diğer ürünlerimde hâlâ e‑haciz uyarısı görün...",/garanti-bbva/garanti-bankasinda-haksiz-e-haciz-uyarisi-kaldirilmadi
Banka,Fatura Borcu Ödeme Ve Sorgulama Engeli Dokuma Şubesine Zorunlu Yönlendirme,"28 Kasım 2025 günü Yapı Kredi’den SMS aldım ve mesajda fatura borcu ödeme ve sorgulama sınırımın aşıldığı, 5 iş günü içinde şubeye gitmem gerektiği yazıyordu. Bunun üzerine ikametime yakın olduğu için Varsak şubesine gittim, orada eksik evrakım olup olmadığı kontrol edildi, kimlik fotokopim alındı v...",/yapi-kredi-bankasi/fatura-borcu-odeme-ve-sorgulama-engeli-dokuma-subesine-zorunlu-yonlendirme
Telefon,Apple 12 Pro Max Cep Telefonu İçin Çift Sigorta Ödemesi İadesi,"EasyCep Tokat/Merkez şubenizden almış olduğum, m101332 numaralı siparişimin (Apple iPhone 12 Pro Max 256 GB) Fibabanka Tam Kapsamlı Telefon Kasko/Sigortası sehven iki kez ödenmiştir (6.155 TL). Birincisi EasyCep Tokat/Merkez şubeniz üzerinden, diğeri ise kendi Ziraat Bankası hesabımdan. Yani sonuç...",/easycep/apple-12-pro-max-cep-telefonu-icin-cift-sigorta-odemesi-iadesi
Telefon,Ankara Çubuk Yukarı Çavundur Mahallesinde Cep Telefonu Şebeke Kesintisi Ve Fatura İndirimi Talebi,"Türk Telekom faturalı cep telefonu hattımda 22 Aralık’tan beri Ankara Çubuk Yukarı Çavundur Mahallesi bölgesinde hiç şebeke yok. Yaklaşık 3–4 gündür hattımı kullanamıyor, arama yapamıyor ve internet hizmetinden faydalanamıyorum. Durumu Türk Telekom müşteri hizmetlerine iletmeme rağmen sorunla ilgil...",/turk-telekom/ankara-cubuk-yukari-cavundur-mahallesinde-cep-telefonu-sebeke-kesintisi-ve-fatura-indirimi-talebi
Telefon,Getir Finans’ta Ani Makas Artışı Kullanıcıyı Mağdur Etti,"Getir Finans uygulaması üzerinden, özellikle düşük makas aralığı sunduğu için altın alım‑satım işlemleri yapmaktaydım. Alım yaparken alış ve satış arasındaki fark 54 TL civarındayken, hiçbir bilgilendirme yapılmadan bir gün içinde makas aralığı üç kattan fazla artırıldı ve şu anda alış‑satış farkı y...",/getirfinans/getir-finansta-ani-makas-artisi-kullaniciyi-magdur-etti
Telefon,Hepsiburada’dan Bootloader Kilidi Açık Telefon İçin Değişim Ve Tam İade Talebi,"Aralık ayı başında Hepsiburada.com üzerinden Xiaomi 15T Pro model bir cep telefonu satın aldım. Telefon elime ulaştıktan sonra WhatsApp uygulamasını bir türlü kuramadım, sürekli hata verdi. Çıkan hata kodunu internette araştırdığımda, telefonda “bootloader kilidi” ile ilgili bir sorun olduğunu ve bu...",/xiaomi/hepsiburadadan-bootloader-kilidi-acik-telefon-icin-degisim-ve-tam-iade-talebi
Telefon,Asılsız Hukuk Bürosu Mesajı,"Bugün, kendisini A*** Hukuk Bürosu olarak tanıtan bir yerden, 0 501 584 **** cep telefonu numarasından ve 0 212 908 **** sabit hat numarasından “Sn. ……… uzlaşma dosyanızın son onay günüdür. Cezai işlemle karşılaşıp mağdur olmamak için arayınız. A** hukuk bürosu: 0212908****” şeklinde bir SMS aldım....",/dava-icra-sms-dolandiriciligi/asilsiz-hukuk-burosu-mesaji-147
